Wed Nov 15 2017 08:58:49 GMT+0600 (Bangladesh Standard Time), Line 1, 30.85 C
Wed Nov 15 2017 09:18:50 GMT+0600 (Bangladesh Standard Time), Line 17, humidity reding 41.49 %
Wed Nov 15 2017 09:18:50 GMT+0600 (Bangladesh Standard Time), Line 51, temperature reading 43.56 C
Wed Nov 15 2017 09:18:51 GMT+0600 (Bangladesh Standard Time), Line 26, accelorometer reading 48.82 
Wed Nov 15 2017 09:18:51 GMT+0600 (Bangladesh Standard Time), Line 52, temperature reading 43.87 C
Wed Nov 15 2017 09:18:52 GMT+0600 (Bangladesh Standard Time), Line 53, temperature reading 41.66 C
Wed Nov 15 2017 09:18:53 GMT+0600 (Bangladesh Standard Time), Line 70, humidity reding 69.13 %
Wed Nov 15 2017 09:18:53 GMT+0600 (Bangladesh Standard Time), Line 18, humidity reding 73.32 %
Wed Nov 15 2017 09:18:53 GMT+0600 (Bangladesh Standard Time), Line 27, accelorometer reading 64.51 
Wed Nov 15 2017 09:18:53 GMT+0600 (Bangladesh Standard Time), Line 54, temperature reading 31.75 C
Wed Nov 15 2017 09:18:54 GMT+0600 (Bangladesh Standard Time), Line 55, temperature reading 44.27 C
Wed Nov 15 2017 09:18:55 GMT+0600 (Bangladesh Standard Time), Line 28, accelorometer reading 79.93 
Wed Nov 15 2017 09:18:55 GMT+0600 (Bangladesh Standard Time), Line 56, temperature reading 34.45 C
Wed Nov 15 2017 09:18:56 GMT+0600 (Bangladesh Standard Time), Line 71, humidity reding 71.65 %
Wed Nov 15 2017 09:18:56 GMT+0600 (Bangladesh Standard Time), Line 19, humidity reding 78.57 %
Wed Nov 15 2017 09:18:56 GMT+0600 (Bangladesh Standard Time), Line 57, temperature reading 44.16 C
Wed Nov 15 2017 09:18:57 GMT+0600 (Bangladesh Standard Time), Line 29, accelorometer reading 37.26 
Wed Nov 15 2017 09:18:57 GMT+0600 (Bangladesh Standard Time), Line 58, temperature reading 34.96 C
Wed Nov 15 2017 09:18:58 GMT+0600 (Bangladesh Standard Time), Line 59, temperature reading 42.42 C
Wed Nov 15 2017 09:18:59 GMT+0600 (Bangladesh Standard Time), Line 72, humidity reding 79.24 %
Wed Nov 15 2017 09:18:59 GMT+0600 (Bangladesh Standard Time), Line 20, humidity reding 83.56 %
Wed Nov 15 2017 09:18:59 GMT+0600 (Bangladesh Standard Time), Line 30, accelorometer reading 1.95 
Wed Nov 15 2017 09:18:59 GMT+0600 (Bangladesh Standard Time), Line 60, temperature reading 43.84 C
Wed Nov 15 2017 09:19:00 GMT+0600 (Bangladesh Standard Time), Line 61, temperature reading 39.56 C
Wed Nov 15 2017 09:19:01 GMT+0600 (Bangladesh Standard Time), Line 31, accelorometer reading 81.49 
Wed Nov 15 2017 09:19:01 GMT+0600 (Bangladesh Standard Time), Line 62, temperature reading 44.00 C
Wed Nov 15 2017 09:19:02 GMT+0600 (Bangladesh Standard Time), Line 73, humidity reding 58.97 %
Wed Nov 15 2017 09:19:02 GMT+0600 (Bangladesh Standard Time), Line 21, humidity reding 86.28 %
Wed Nov 15 2017 09:19:02 GMT+0600 (Bangladesh Standard Time), Line 63, temperature reading 41.49 C
Wed Nov 15 2017 09:19:03 GMT+0600 (Bangladesh Standard Time), Line 32, accelorometer reading 6.79 
Wed Nov 15 2017 09:19:03 GMT+0600 (Bangladesh Standard Time), Line 64, temperature reading 37.55 C
Wed Nov 15 2017 09:19:04 GMT+0600 (Bangladesh Standard Time), Line 65, temperature reading 30.27 C
Wed Nov 15 2017 09:19:05 GMT+0600 (Bangladesh Standard Time), Line 74, humidity reding 75.47 %
Wed Nov 15 2017 09:19:05 GMT+0600 (Bangladesh Standard Time), Line 22, humidity reding 76.89 %
Wed Nov 15 2017 09:19:05 GMT+0600 (Bangladesh Standard Time), Line 33, accelorometer reading 70.55 
Wed Nov 15 2017 09:19:05 GMT+0600 (Bangladesh Standard Time), Line 66, temperature reading 33.52 C
Wed Nov 15 2017 09:19:06 GMT+0600 (Bangladesh Standard Time), Line 67, temperature reading 30.61 C
Wed Nov 15 2017 09:19:07 GMT+0600 (Bangladesh Standard Time), Line 34, accelorometer reading 58.94 
Wed Nov 15 2017 09:19:07 GMT+0600 (Bangladesh Standard Time), Line 68, temperature reading 38.40 C
Wed Nov 15 2017 09:19:08 GMT+0600 (Bangladesh Standard Time), Line 75, humidity reding 72.61 %
Wed Nov 15 2017 09:19:08 GMT+0600 (Bangladesh Standard Time), Line 23, humidity reding 95.13 %
Wed Nov 15 2017 09:19:08 GMT+0600 (Bangladesh Standard Time), Line 69, temperature reading 41.74 C
Wed Nov 15 2017 09:19:09 GMT+0600 (Bangladesh Standard Time), Line 35, accelorometer reading 89.63 
Wed Nov 15 2017 09:19:09 GMT+0600 (Bangladesh Standard Time), Line 70, temperature reading 30.63 C
Wed Nov 15 2017 09:19:11 GMT+0600 (Bangladesh Standard Time), Line 76, humidity reding 75.48 %
Wed Nov 15 2017 09:19:14 GMT+0600 (Bangladesh Standard Time), Line 77, humidity reding 96.61 %
Wed Nov 15 2017 09:19:15 GMT+0600 (Bangladesh Standard Time), Line 1, temperature reading 39.22 C
Wed Nov 15 2017 09:19:16 GMT+0600 (Bangladesh Standard Time), Line 1, accelerometer reading 63.34 
Wed Nov 15 2017 09:19:16 GMT+0600 (Bangladesh Standard Time), Line 2, temperature reading 40.51 C
Wed Nov 15 2017 09:19:17 GMT+0600 (Bangladesh Standard Time), Line 78, humidity reding 67.21 %
Wed Nov 15 2017 09:19:17 GMT+0600 (Bangladesh Standard Time), Line 1, humidity reding 69.41 %
Wed Nov 15 2017 09:19:17 GMT+0600 (Bangladesh Standard Time), Line 3, temperature reading 43.47 C
Wed Nov 15 2017 09:19:18 GMT+0600 (Bangladesh Standard Time), Line 2, accelerometer reading 93.83 
Wed Nov 15 2017 09:19:18 GMT+0600 (Bangladesh Standard Time), Line 4, temperature reading 39.83 C
Wed Nov 15 2017 09:19:19 GMT+0600 (Bangladesh Standard Time), Line 5, temperature reading 35.54 C
Wed Nov 15 2017 09:19:20 GMT+0600 (Bangladesh Standard Time), Line 79, humidity reding 45.72 %
Wed Nov 15 2017 09:19:23 GMT+0600 (Bangladesh Standard Time), Line 80, humidity reding 41.46 %
Wed Nov 15 2017 09:19:26 GMT+0600 (Bangladesh Standard Time), Line 81, humidity reding 95.54 %
Wed Nov 15 2017 09:19:29 GMT+0600 (Bangladesh Standard Time), Line 82, humidity reding 47.14 %
Wed Nov 15 2017 09:19:32 GMT+0600 (Bangladesh Standard Time), Line 83, humidity reding 92.15 %
Wed Nov 15 2017 09:19:35 GMT+0600 (Bangladesh Standard Time), Line 84, humidity reding 54.01 %
Wed Nov 15 2017 09:19:38 GMT+0600 (Bangladesh Standard Time), Line 85, humidity reding 94.91 %
Wed Nov 15 2017 09:19:41 GMT+0600 (Bangladesh Standard Time), Line 86, humidity reding 72.38 %
Wed Nov 15 2017 09:19:44 GMT+0600 (Bangladesh Standard Time), Line 87, humidity reding 55.24 %
Wed Nov 15 2017 09:19:47 GMT+0600 (Bangladesh Standard Time), Line 88, humidity reding 51.44 %
Wed Nov 15 2017 09:19:50 GMT+0600 (Bangladesh Standard Time), Line 89, humidity reding 55.13 %
Wed Nov 15 2017 09:19:53 GMT+0600 (Bangladesh Standard Time), Line 90, humidity reding 76.77 %
Wed Nov 15 2017 09:19:56 GMT+0600 (Bangladesh Standard Time), Line 91, humidity reding 52.71 %
Wed Nov 15 2017 09:19:59 GMT+0600 (Bangladesh Standard Time), Line 92, humidity reding 87.64 %
Wed Nov 15 2017 09:20:02 GMT+0600 (Bangladesh Standard Time), Line 93, humidity reding 46.46 %
Wed Nov 15 2017 09:20:05 GMT+0600 (Bangladesh Standard Time), Line 94, humidity reding 82.95 %
Wed Nov 15 2017 09:20:08 GMT+0600 (Bangladesh Standard Time), Line 95, humidity reding 49.77 %
Wed Nov 15 2017 09:20:11 GMT+0600 (Bangladesh Standard Time), Line 96, humidity reding 75.19 %
Wed Nov 15 2017 09:20:14 GMT+0600 (Bangladesh Standard Time), Line 97, humidity reding 47.25 %
Wed Nov 15 2017 09:20:17 GMT+0600 (Bangladesh Standard Time), Line 98, humidity reding 43.41 %
